Symbols from TC2000
MELI
GDXU
URI
LEU
JNUG
NVTX
NUGT
AVAV
CVNA
ORCL
QBTX
CEG
RGLD
AGX
IONX
CAT
SHNY
FICO
GLD
SITM
FNV
PALL
BLK
VEEV
AEM
GS
HIMS
APLX
GRAL
CMI
WPM
VST
IONL
HIMZ
KRRO
AGQ
GDMN
SOUX
PEN
HWKN
NEM
SMU
NEBX
JBHT
GLTR
GDXJ
NBIS
NGNE
CONI
SNA
ARM
TSM
DE
ORCX
SIL
FRHC
SMR
WCC
FSLR
ASA
CRM
RING
GDX
LIF
AAON
PPLT
CMCL
EPSM
AYI
SLVR
ICLR
RSI
BWXT
DJCO
SMST
SMUP
HRI
JBTM
PKG
ULTA
PAAS
HSDT
NLR
DRUG
DKS
OSK
EVAX
NOC
VIXY
CSW
SLNO
UI
CW
GATX
POWL
PRLB
AUGO
OSCX
AU
LECO
SCCO
FRPT
VXX
SEI
UGL
SUPX
MOD
SEDG
DRD
NXPI
RRX
KOLD
STEM
PWR
IONQ
EGO
KRUS
SLVP
DUOL
QURE
BOOT
BKKT
VICR
VOYG
SAM
MS
TWST
CHTR
HUBB
PIPR
SA
UVIX
METCB
XME
LTBR
KTOS
GLDM
WIX
ITRI
WW
SYM
CAR
VPG
INSG
AMRK
NBIL
ENS
W
TFPM
TLN
IAU
SMCX
SIVR
ARCX
KGC
DAVE
AGI
KTB
OR
CNR
BX
JPM
LENZ
VIA
FRMI
AMZN
SHW
OMER
WOLF
GH
STRL
FMFC
AMAT
SLV
AZZ
NUKK
DNA
AEHR
DPZ
OUST
AMRC
GBCI
TEM
RBA
GTLB
LMB
RH
ARWR
ASTE
CECO
SMTC
SILJ
SE
PATK
XPO
AGCO
B
WSC
CEVA
XAR
WSM
TBBK
LSTR
SRRK
CDE
SSRM
NUTX
CEF
VLO
NOVT
PGNY
FLY
FGDL
URNM
UVXY
BTU
VC
EVR
RARE
BELFB
IPGP
TEMT
BANR
GLW
HYMC
JOBX
POWI
QCLS
TSMX
CCOI
KRYS
ACLX
BK
RGR
EYE
PEGA
GFI
MAN
SKYW
SANM
FN
ALMU
SOC
CYD
FIGR
IDR
APP
FLR
RGTZ
FEIM
FITB
HASI
SMLR
FTAI
VRT
PRE
QPUX
DGNX
SEAT
SBAC
BRKR
PZZA
QH
SKE
GPC
YANG
BLBD
HMY
RMD
ECG
NGVT
QUBX
IAG
OSCR
AAUC
EWW
NEE
MYRG
SERV
VPU
RGEN
UTES
AEC
PGY
MEOH
TARS
SFM
SOUN
ATRO
BAR
IAUM
RNA
UPB
TEX
HRTG
AAAU
ABG
OUNZ
FCFS
SPXS
SGI
SGOL
GHM
SITE
FLEX
URAA
WFC
SMCI
AMSC
CSIQ
LCID
LASR
AIP
GDE
APD
RPM
CCI
FAZ
VELO
PSNL
TSSI
GLBE
DASH
SGBX
QBTS
FLNC
ARMG
GEOS
MEG
MRAM
CBZ
VCTR
MIRM
RBLX
IT
CRI
TSMU
GDXY
APLD
LINE
LRCX
DKNG
WLK
HL
AMT
CGEM
BYRN
PHYS
ALGT
EE
WYFI
LBRDK
CTS
NSIT
IWO
SBSW
KE
ODFL
CC
RCAT
GOLY
DHR
ADPT
DAL
QMCO
ALB
BAIG
BKSY
NVDD
TSDD
AG
RHI
