symbol,date,numobs,high_21d,high_34d,high_55d,low_11d,low_21d,low_34d,first_date,first_close,close,volume,roc_ytd,roc5,roc10,ma_4d,ma_7d,ma_21d,ma_42d,ma_65d,ma_126d,close_25d_ago,ma_126d_25d_ago,total_up_days_10yr,vol9_5,vol9_10,vol9_50,vol9_126,vol9_252,pct4_10,pct4_20,pct4_40,pct4_60,pct4_126,pct4_252,up_day,consecutive_up_days,total_curr_up_days,total_up_days_252d,total_up_days_ytd,up_day_percentage,max_up_streak,significant_up_days_1pct,significant_up_days_2pct,high_volume_up_days,recent_up_trend_21d,recent_up_trend_63d,strong_up_days,order,name,industry_name,sector,market_cap_mil,shares_in_float_1000s,x50_day_avg_vol_1000s,x50_day_avg_vol_1000s_2,comp_rating,eps_rating,a_d_rating,eps_due_date,ipo_date,etf,current_price,percent_off_high,avg_true_range,rs_rating,rs_3_month_rating,rs_6_month_rating,rs_line_new_high,price_percent_chg,percent_chg_cur_week,percent_chg_1_month,percent_chg_3_months,percent_chg_6_months,percent_chg_12_months,sales_accel_2_qtrs,sales_accel_3_qtrs,sales_percent_chg_lst_qtr,avg_sales_percent_chg_2q,avg_sales_percent_chg_3q,eps_accel_3_qtrs,eps_percent_chg_last_qtr,eps_percent_chg_1_q_ago,eps_percent_chg_2_q_ago,eps_est_next_yr_percent,x3_yr_eps_growth_geq_5_yr,eps_trl_4q_gtr_eps_4_yrs_ago,eps_trl_4q_geq_eps_lst_fiscal_yr,funds_percent,earnings_stability,yield_percent
NNE,2025-10-17,363,60.87,60.87,60.87,41.3,37.55,29.82,2025-01-02,23.93,47.84,3583023,99.9164229001254,1.04385773510801,1.07529781973477,50.8375,50.1471428571429,46.3152380952381,39.5808333333334,38.3014615384616,34.2588095238095,33.06,30.578253968254,168,0,0,1,2,9,1,3,9,12,29,57,FALSE,0,168,118,91,46.4,8,152,134,68,9,32,123,6789,Nano Nuclear Energy,Energy-Alternative/Other,ENERGY,1989.2,27858,187666,3947,66,6,B,2025-12-03,2024-05-08,No,47.84,-21.41,4.6,95,95,94,No,-1.18,4.39,33.6,27,140.9,155.4,No,No,-,-,-,No,-20,-850,-100,-11,No,No,No,34,-,
NNN,2025-10-17,5034,43.39,43.39,43.39,41.5,41.5,41.5,2025-01-02,40.11,42.76,910573,6.60683121416106,1.02591170825336,0.998598785614199,42.4725000000003,42.2557142857144,42.2980952380953,42.4278571428571,42.2975384615385,42.2049206349207,43.02,41.9713492063492,1301,0,0,0,0,0,0,0,0,0,0,2,TRUE,1,2596,119,97,51.6,17,1107,407,964,8,25,170,6791,NNN REIT,Finance-Property REIT,REAL EST,8072.3,186893,51269,1190,52,62,B,2025-11-04,1984-10-09,No,42.76,-12.77,0.53,30,50,37,No,1.14,2.59,0.4,0,2.7,-12.3,No,No,5,5.9,4.3,No,1,4,-4,3,No,Yes,Yes,57,5,5.6
NNOX,2025-10-17,1296,4.49,4.49,4.95,3.81,3.6,3.6,2025-01-02,8.87,3.99,1423425,-55.0169109357384,1.02307692307692,1.01526717557252,4.14999999999997,4.09428571428572,3.97047619047622,3.93833333333334,4.24146153846157,4.70928571428569,3.905,4.94107142857141,581,0,0,0,0,2,3,3,6,6,10,26,FALSE,0,581,114,86,44.9,7,485,386,161,9,23,297,6794,Nano-X Imaging,Medical-Systems/Equip,MEDICAL,230.6,49130,5332,1342,10,13,B-,2025-11-18,2020-08-21,No,3.99,-63.73,0.22,7,21,8,No,-3.16,2.31,2,-21.3,-23.3,-33.6,Yes,No,13,11.6,16.1,No,-21,-7,6,44,No,No,No,11,-,0
NOBL,2025-10-17,3023,104.2102,105.51,106.51,100.89,100.89,100.89,2025-01-02,98.85,102.4,770410,3.59129994941831,1.01105845181675,0.986227487238756,102.19,101.984285714286,102.634761904762,103.513333333333,103.466307692308,101.819325396825,104.25,101.057182539683,1354,0,0,0,0,0,0,0,0,0,0,1,TRUE,1,1626,121,99,53.8,10,320,53,614,9,29,18,6799,ProSh S&P 500 Div Aris,Finance-ETF / ETN,MISC,11305,111550,64071,633,-,0,D,-,-,Yes,102.4,-5.87,0.99,34,32,33,No,0.92,1.11,-1.3,-0.5,5.9,-5,No,No,-,-,-,No,0,2,7,-,No,Yes,Yes,0,-,2.1
NOC,2025-10-17,5034,640.901,640.901,640.901,591.68,565.5,565.5,2025-01-02,468.01,594.5,825196,27.0272002734984,0.953503664854288,0.975325655412278,607.335,615.245714285712,604.805714285714,594.176190476191,587.035076923075,540.21380952381,575.96,521.824047619048,1329,0,0,0,0,0,0,0,0,0,1,3,FALSE,0,2669,137,110,53,11,1040,354,1000,10,34,142,6800,Northrop Grumman,Aerospace/Defense,AEROSPACE,85121.7,141750,413058,698,73,52,C,2025-10-21,-,No,594.5,-7.24,10.72,74,59,74,No,-0.75,-4.65,3,13.5,10,12.6,Yes,No,1,-2.6,-1.6,No,28,-56,541,13,Yes,Yes,No,48,19,1.6
NOG,2025-10-17,4421,28.09,28.09,28.73,20.98,20.98,20.98,2025-01-02,37.76,21.59,2122536,-42.823093220339,0.979582577132486,0.862220447284345,21.7575000000002,22.2628571428569,24.4566666666665,24.9335714285711,25.3686153846156,26.6346031746032,25.44,27.1246031746032,1219,0,0,0,0,0,1,2,3,3,6,8,TRUE,1,2161,122,95,48.9,13,1656,1182,783,9,30,860,6805,Northern Oil & Gas,Oil&Gas-U S Expl&Prod,ENERGY,2107.1,94666,41105,1883,27,72,D-,2025-11-06,-,No,21.59,-51.28,1.01,7,5,6,No,0.79,-2.04,-16.5,-21.6,-10.7,-42.9,No,No,26,39,14.3,No,-6,4,-31,-28,No,Yes,No,76,32,8.3
NOK,2025-10-17,5034,5.79,5.79,5.79,4.86,4.63,4.23,2025-01-02,4.46,5.74,31787900,28.6995515695067,1.07894736842105,1.17142857142857,5.63500000000002,5.47000000000001,5.0490476190476,4.75285714285713,4.57199999999995,4.85769841269838,4.51,4.8885714285714,1225,1,1,2,3,6,1,1,2,2,3,6,TRUE,4,2461,132,105,48.9,10,1414,734,820,16,36,406,6806,Nokia ADR,Telecom-Infrastructure,TELECOM,32177.6,5549791,167373,29446,86,29,A+,2025-10-23,1994-07-01,No,5.74,-0.86,0.11,80,94,84,No,1.06,7.89,22.1,20.1,12.3,32.3,Yes,No,12,5.5,4.9,No,-17,-70,73,25,No,Yes,No,5,16,2.4
NOMD,2025-10-17,2631,13.79,15.58,17.295,11.86,11.86,11.86,2025-01-02,16.66,12.22,1802643,-26.6506602641056,1.00658978583196,0.93353705118411,12.1675000000001,12.2042857142857,12.7733333333333,13.7658333333334,14.739,16.294880952381,14.13,17.5852777777778,1227,0,0,0,0,0,0,0,0,0,0,3,TRUE,2,1273,121,91,48.4,11,626,290,487,8,27,123,6808,Nomad Foods,Food-Packaged,FOOD/BEV,1862.3,124968,20901,1655,10,51,D-,2025-11-06,-,No,12.22,-41.28,0.35,6,4,3,No,1.24,0.66,-10,-30.5,-37.7,-31.9,Yes,No,9,3.2,1.4,No,0,-5,23,7,Yes,Yes,Yes,57,7,5.6
NOTE,2025-10-17,1213,5.56,5.59,8.148,4.2,4.2,3.8,2025-01-02,12.48,4.25,252235,-65.9455128205128,0.912017167381974,0.823643410852713,4.50999999999998,4.60571428571441,4.78000000000002,4.84087619047608,5.80371076923089,6.60853015873023,4.57,7.62086349206357,536,0,0,0,0,0,0,2,4,6,13,24,FALSE,0,536,113,91,44.2,7,332,255,174,7,25,205,6810,FiscalNote,Computer Sftwr-Enterprse,SOFTWARE,56,7118,1227,286,4,17,D+,2025-11-18,-,No,4.25,-82.55,0.39,2,2,2,No,-3.19,-8.8,-3.4,-45.5,-42.9,-69.5,No,No,-20,-17.4,-16.3,No,11,-108,74,10,No,No,No,42,-,0
NOV,2025-10-17,5034,13.905,13.905,13.905,12.285,12.285,12.285,2025-01-02,14.7,12.66,2093973,-13.8775510204082,1.02843216896832,0.924087591240876,12.6775000000002,12.6971428571428,13.0990476190477,13.0621428571429,12.9101538461541,12.8114285714284,12.89,12.9442857142855,1232,0,0,0,0,2,0,0,2,2,4,8,FALSE,0,2529,111,89,50.2,12,1585,965,934,9,30,558,6812,NOV,Oil&Gas-Machinery/Equip,ENERGY,4701.5,360223,43780,3429,43,55,C+,2025-10-27,1996-10-28,No,12.66,-24.91,0.44,20,29,24,No,-0.24,2.84,-1.9,-2.2,1,-19,Yes,No,-1,-1.8,-1.7,No,-49,-37,46,5,Yes,Yes,No,65,99,2.4
NOVT,2025-10-17,4865,117.66,120.32,125.89,99.84,98.955,98.955,2025-01-02,150.93,105.56,297164,-30.0602928509905,1.05602240896359,1.00985363053669,105.805000000001,104.531428571429,104.56119047619,110.258452380952,113.998076923077,119.297976190476,114.53,122.801944444444,1306,0,0,0,0,0,0,0,1,1,3,5,FALSE,0,2400,111,88,49.3,10,1462,761,755,10,27,386,6815,Novanta,Elec-Scientific/Msrng,ELECTRNCS,3797,35250,40725,384,31,67,E,2025-11-04,-,No,105.56,-42.66,3.41,11,18,10,No,-0.98,5.6,-6.6,-16.3,-7.9,-40.4,Yes,No,2,1.6,5.3,No,4,0,21,16,No,Yes,Yes,67,10,0
NOW,2025-10-17,3345,973.63,973.63,973.63,887.305,887.305,878.19,2025-01-02,1054.34,903.6,840091,-14.2970958134947,1.01675462186765,0.990398526897277,903.100000000001,906.108571428571,918.798095238094,916.966904761905,918.318461538461,951.519206349205,928.96,928.399444444443,1373,0,0,0,0,0,0,0,1,1,4,7,TRUE,1,1809,123,96,54.1,18,1084,566,634,10,29,299,6817,ServiceNow,Computer Sftwr-Enterprse,SOFTWARE,187948.8,205920,1418923,1531,84,98,C-,2025-10-29,2012-06-29,No,903.6,-24.58,25.4,26,29,20,No,1.02,1.68,-4.9,-5.8,17,-1.5,Yes,No,22,20.5,20.8,Yes,31,18,18,19,Yes,Yes,Yes,49,4,0
NP,2025-10-17,13,33.2346,33.2346,33.2346,24.43,22.3,22.3,2025-10-01,24.8,25.13,200622,1.33064516129031,0.949018126888217,0.826644736842105,26.05,26.6414285714286,27.2776923076923,27.2776923076923,27.2776923076923,27.2776923076923,,,4,0,0,0,0,0,1,1,1,1,1,1,FALSE,0,4,4,4,33.3,2,4,3,1,4,4,3,6819,Neptune Insurance,Insurance-Brokers,INSURANCE,3468.8,18920,47596,1763,45,78,-,-,2025-10-01,No,25.13,-24.39,-,46,3,8,No,-0.83,-5.1,-,-,-,-,No,No,30,32.9,38.1,No,60,133,167,-,No,No,Yes,-,-,
NPCE,2025-10-17,1129,11.2499,11.2499,11.2499,10.1453,9.7601,8.8833,2025-01-02,11.58,10.41,95103,-10.1036269430052,1.01264591439689,0.953296703296703,10.7125,10.6285714285714,10.4814285714286,9.95333333333334,9.58707692307691,10.8482142857143,9.86,11.1078968253968,528,0,0,0,0,0,1,2,3,5,9,19,FALSE,0,528,126,97,46.8,8,416,339,145,11,31,269,6822,NeuroPace,Medical-Products,MEDICAL,344.4,20179,1847,176,41,27,B-,2025-11-11,2021-04-22,No,10.41,-45.14,0.47,74,84,24,No,-2.16,1.26,5.3,14.6,-3.5,62.9,No,No,22,23.2,21.9,No,0,34,22,20,No,Yes,Yes,73,-,0
NPKI,2025-10-17,5034,11.79,11.79,11.79,10.73,10.73,10.11,2025-01-02,7.64,11.68,617118,52.8795811518325,1.08752327746741,1.04659498207885,11.4775,11.2528571428572,11.2261904761905,10.8540476190476,10.2604615384615,9.1563492063492,10.53,8.0647619047619,1203,0,0,0,0,0,1,1,1,1,5,7,TRUE,1,2438,130,103,48.4,10,1751,1132,858,11,35,759,6827,NPK International,Oil&Gas-Field Services,ENERGY,986.2,80210,8807,748,94,95,B-,2025-11-04,-,No,11.68,-0.93,0.31,93,90,90,Yes,1.48,8.75,8.7,37.6,102.8,62.9,No,No,2,17.2,19.4,No,10,140,100,25,Yes,Yes,Yes,59,48,0
NPO,2025-10-17,5034,234.945,234.945,234.945,212.92,212.92,211.28,2025-01-02,169.17,228.78,208679,35.2367441035645,1.06349944217181,1.00240984971301,228.4,224.090000000001,224.629523809524,223.082142857143,220.436307692308,201.805555555556,222.16,189.131984126984,1293,0,0,0,0,0,0,0,0,2,3,6,FALSE,0,2576,135,106,51.2,13,1393,700,900,12,33,344,6829,Enpro,Machinery-Gen Industrial,MACHINE,4816.5,20631,33013,145,89,83,B-,2025-11-04,-,No,228.78,-2.62,7,86,77,83,No,-0.15,6.35,5,11.2,58.6,44.6,No,No,6,6,5.3,No,-2,21,32,13,No,Yes,Yes,72,11,0.5
